Income_count,Employment_count,CIF,ALCOHOL,DEPRESS,EMERG,Attendance,Attainment,Noquals,NEET,PT_GP,PT_Post,PT_retail,crime_count,overcrowded_count,nocentralheat_count
100,60,115,28.17452096,0.207126949,85.35503244,0.777777778,5.13636364,125.5281834,0.05,6.093417745,7.589225787,7.555129463,13.00610456,63,10
60,25,65,62.75560145,0.169642857,78.06033976,0.855813954,5.52631579,74.4055223,0.04,8.060263489,9.84329036,8.890190633,27.0126787,50,1
30,15,60,12.58346133,0.111111111,88.68936761,0.843575419,5.875,46.62920867,0.03,12.53190232,12.44480849,14.54145646,20.00939163,35,4
10,10,35,23.76623271,0.108614232,50.84866743,0.890756303,5.83333333,46.99636482,0.01,10.378909,10.61069204,14.49847881,26.01220912,28,3
40,40,60,73.10792837,0.142174432,64.16960084,0.905172414,6.09090909,50.43944695,0.03,5.236974449,8.57329584,9.395388858,17.00798289,53,13
75,30,80,89.37418406,0.209223847,87.89177128,0.86163522,5.83333333,43.74770788,0.04,5.031456263,4.248399828,11.64398663,25.01173954,22,1
20,10,50,53.98641647,0.17961165,57.82999073,0.940740741,6,15.81931503,0,4.674317583,3.421631525,10.36144231,19.00892205,13,8
40,30,75,24.74519568,0.204272363,65.54942823,0.890909091,6.33333333,45.88711546,0.06,9.46576362,8.46796151,15.12541489,21.00986121,31,10
45,20,75,17.44741772,0.118584071,79.22887424,0.854166667,4.42857143,59.90835225,0.06,7.230608901,9.755904089,12.01089482,8.003756652,54,16
185,105,150,207.3165961,0.231316726,123.8922176,0.798816568,5.625,129.1380161,0.04,8.291222171,10.85330547,12.693915,14.00657414,155,26
185,110,120,160.6222015,0.180746562,111.5829214,0.68372093,5.22580645,131.8877556,0.09,7.392799001,8.715735242,11.2719705,42.01972243,124,23
105,50,115,144.6054078,0.179083095,107.6255299,0.861842105,5.06666667,81.61700721,0.02,6.428583505,5.651332428,10.03734573,30.01408745,133,10
130,55,100,90.40234463,0.138823529,101.8603956,0.720238095,4.875,87.47081187,0.03,9.251175746,7.155401621,10.86728754,14.00657414,141,18
120,55,115,61.29189062,0.159395973,103.2585746,0.679775281,4.68421053,106.3204787,0.21,9.835986637,4.277692384,10.16941482,17.00798289,106,13
130,60,125,106.0739846,0.184210526,126.7510902,0.771028037,4.875,138.198308,0.13,7.011812688,5.489568503,12.29336313,25.01173954,176,26
60,15,65,30.95691289,0.142147117,76.70934053,0.885245902,6.5,40.1480266,0,6.486690397,7.413022334,8.209548687,49.0230095,35,6
20,15,35,18.54575449,0.10295858,65.81848104,0.940944882,5.81818182,20.67541398,0.01,8.575006534,3.407303241,8.782128939,16.0075133,53,6
25,5,65,100.832394,0.128140704,66.09021336,0.95,6.38461538,55.24669602,0.03,9.564487314,5.89189738,10.32423083,13.00610456,10,1
25,15,50,21.24067205,0.099378882,62.74543539,0.925,5.78571429,25.93470205,0.03,9.972938,4.665171278,10.06663375,8.003756652,41,11
40,30,50,174.7993234,0.113557358,65.345465,0.924170616,6.04347826,43.1563264,0,9.450688698,6.362220812,9.567800358,13.00610456,64,9
70,45,80,64.26934388,0.1272509,86.60180373,0.838427948,5.20689655,53.73234776,0.03,10.63479605,7.052506604,9.599782918,53.02488782,106,12
10,10,30,12.35843374,0.126631854,61.85895074,0.976047904,6.55555556,20.26350815,0.02,7.036878202,7.246573731,7.924077,37.01737452,20,7
35,20,45,91.15712704,0.131277533,69.29662201,0.940789474,5.66666667,23.86238883,0.02,6.09348988,6.402605971,7.146729327,28.01314828,71,17
200,100,150,162.1381805,0.248612653,119.9878894,0.835294118,5.07142857,119.1852169,0,6.370066357,6.958406094,6.495033177,27.0126787,171,8
